
     Program AVERAGE v.5.1 starts on 18Jun2018 at 21:13:10 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_CO_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               114417    40121    6739
     Tot         325     157     49

     Reading data from file  Au_CO_tmp.pp
    2.959362798    0.062474182   -0.292820225
    2.974696284    0.043608760   -0.307176814
    2.990029770    0.024258523   -0.321555232
    3.005363256    0.004420832   -0.335948044
    3.020696742   -0.015906207   -0.350347822
    3.036030228   -0.036723708   -0.364747162
    3.051363714   -0.058031984   -0.379138687
    3.066697200   -0.079830506   -0.393515051
    3.082030686   -0.102117872   -0.407868952
    3.097364172   -0.124891773   -0.422193140
    3.112697658   -0.148148953   -0.436480417
    3.128031144   -0.171885177   -0.450723654
    3.143364630   -0.196095201   -0.464915790
    3.158698116   -0.220772738   -0.479049848
    3.174031602   -0.245910439   -0.493118932
    3.189365088   -0.271499872   -0.507116240
    3.204698574   -0.297531510   -0.521035070
    3.220032060   -0.323994731   -0.534868821
    3.235365546   -0.350877811   -0.548611004
    3.250699032   -0.378167940   -0.562255244
    3.266032518   -0.405851231   -0.575795284
    3.281366004   -0.433912742   -0.589224990
    3.296699490   -0.462336496   -0.602538355
    3.312032976   -0.491105513   -0.615729505
    3.327366462   -0.520201832   -0.628792697
    3.342699948   -0.549606542   -0.641722326
    3.358033434   -0.579299815   -0.654512929
    3.373366920   -0.609260932   -0.667159184
    3.388700406   -0.639468310   -0.679655917
    3.404033892   -0.669899534   -0.691998101
    3.419367378   -0.700531385   -0.704180862
    3.434700864   -0.731339864   -0.716199479
    3.450034350   -0.762300226   -0.728049386
    3.465367836   -0.793387008   -0.739726177
    3.480701322   -0.824574066   -0.751225605
    3.496034808   -0.855834609   -0.762543582
    3.511368294   -0.887141245   -0.773676186
    3.526701780   -0.918466025   -0.784619655
    3.542035266   -0.949780496   -0.795370394
    3.557368752   -0.981055754   -0.805924970
    3.572702238   -1.012262511   -0.816280114
    3.588035724   -1.043371151   -0.826432721
    3.603369210   -1.074351800   -0.836379849
    3.618702696   -1.105174395   -0.846118715
    3.634036182   -1.135808743   -0.855646701
    3.649369668   -1.166224591   -0.864961344
    3.664703154   -1.196391683   -0.874060340
    3.680036640   -1.226279816   -0.882941541
    3.695370126   -1.255858888   -0.891602950
    3.710703612   -1.285098942   -0.900042725
    3.726037098   -1.313970201   -0.908259170
    3.741370584   -1.342443095   -0.916250736
    3.756704070   -1.370488288   -0.924016019
    3.772037556   -1.398076693   -0.931553756
    3.787371042   -1.425179486   -0.938862820
    3.802704528   -1.451768120   -0.945942217
    3.818038014   -1.477814339   -0.952791085
    3.833371500   -1.503290187   -0.959408685
    3.848704986   -1.528168031   -0.965794397
    3.864038472   -1.552420582   -0.971947716
    3.879371958   -1.576020922   -0.977868244
    3.894705444   -1.598942543   -0.983555681
    3.910038930   -1.621159392   -0.989009824
    3.925372416   -1.642645916   -0.994230552
    3.940705902   -1.663377128   -0.999217822
    3.956039388   -1.683328665   -1.003971660
    3.971372874   -1.702476855   -1.008492151
    3.986706360   -1.720798794   -1.012779432
    4.002039846   -1.738272410   -1.016833682
    4.017373332   -1.754876536   -1.020655114
    4.032706818   -1.770590971   -1.024243968
    4.048040304   -1.785396549   -1.027600502
    4.063373790   -1.799275184   -1.030724984
    4.078707276   -1.812209922   -1.033617690
    4.094040762   -1.824184974   -1.036278891
    4.109374248   -1.835185750   -1.038708853
    4.124707734   -1.845198876   -1.040907831
    4.140041220   -1.854212208   -1.042876063
    4.155374706   -1.862214840   -1.044613768
    4.170708192   -1.869197106   -1.046121143
    4.186041678   -1.875150576   -1.047398359
    4.201375164   -1.880068055   -1.048445561
    4.216708650   -1.883943581   -1.049262863
    4.232042136   -1.886772415   -1.049850351
    4.247375622   -1.888551052   -1.050208075
    4.262709108   -1.889277212   -1.050336055
    4.278042594   -1.888949856   -1.050234276
    4.293376080   -1.887569186   -1.049902689
    4.308709566   -1.885136664   -1.049341207
    4.324043052   -1.881655020   -1.048549712
    4.339376538   -1.877128270   -1.047528049
    4.354710024   -1.871561724   -1.046276029
    4.370043510   -1.864961999   -1.044793432
    4.385376996   -1.857337025   -1.043080005
    4.400710482   -1.848696046   -1.041135466
    4.416043968   -1.839049611   -1.038959508
    4.431377454   -1.828409562   -1.036551801
    4.446710940   -1.816789011   -1.033911997
    4.462044426   -1.804202311   -1.031039732
    4.477377912   -1.790665014   -1.027934638
    4.492711398   -1.776193829   -1.024596342
    4.508044884   -1.760806566   -1.021024475
    4.523378370   -1.744522078   -1.017218681
    4.538711856   -1.727360206   -1.013178621
    4.554045342   -1.709341707   -1.008903984
    4.569378828   -1.690488202   -1.004394492
    4.584712314   -1.670822104   -0.999649910
    4.600045800   -1.650366569   -0.994670052
    4.615379286   -1.629145435   -0.989454792
    4.630712772   -1.607183175   -0.984004069
    4.646046258   -1.584504853   -0.978317895
    4.661379744   -1.561136081   -0.972396365
