
     Program AVERAGE v.5.1 starts on 18Jun2018 at 16: 3:20 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               100611    35335    5899
     Tot         325     157     49

     Reading data from file  Au_tmp.pp
    1.713218274    0.536288280    0.264716520
    1.726708181    0.538689438    0.269054446
    1.740198089    0.540945780    0.273166076
    1.753687997    0.543058523    0.277050159
    1.767177904    0.545028812    0.280705514
    1.780667812    0.546857731    0.284131032
    1.794157720    0.548546304    0.287325678
    1.807647627    0.550095496    0.290288488
    1.821137535    0.551506218    0.293018568
    1.834627443    0.552779327    0.295515097
    1.848117350    0.553915628    0.297777326
    1.861607258    0.554915871    0.299804575
    1.875097166    0.555780752    0.301596235
    1.888587073    0.556510907    0.303151767
    1.902076981    0.557106915    0.304470702
    1.915566889    0.557569289    0.305552642
    1.929056796    0.557898479    0.306397257
    1.942546704    0.558094860    0.307004286
    1.956036612    0.558158740    0.307373538
    1.969526519    0.558090347    0.307504890
    1.983016427    0.557889834    0.307398288
    1.996506335    0.557557276    0.307053748
    2.009996242    0.557092669    0.306471352
    2.023486150    0.556495931    0.305651254
    2.036976058    0.555766904    0.304593675
    2.050465965    0.554905356    0.303298903
    2.063955873    0.553910981    0.301767298
    2.077445781    0.552783407    0.299999287
    2.090935688    0.551522196    0.297995368
    2.104425596    0.550126846    0.295756108
    2.117915504    0.548596798    0.293282142
    2.131405411    0.546931434    0.290574176
    2.144895319    0.545130083    0.287632988
    2.158385227    0.543192017    0.284459423
    2.171875134    0.541116459    0.281054398
    2.185365042    0.538902572    0.277418903
    2.198854950    0.536549465    0.273553995
    2.212344857    0.534056188    0.269460805
    2.225834765    0.531421729    0.265140534
    2.239324673    0.528645007    0.260594455
    2.252814580    0.525724873    0.255823912
    2.266304488    0.522660101    0.250830322
    2.279794396    0.519449387    0.245615173
    2.293284303    0.516091343    0.240180025
    2.306774211    0.512584497    0.234526508
    2.320264119    0.508927287    0.228656328
    2.333754026    0.505118062    0.222571259
    2.347243934    0.501155081    0.216273152
    2.360733842    0.497036516    0.209763925
    2.374223749    0.492760454    0.203045573
    2.387713657    0.488324897    0.196120162
    2.401203565    0.483727772    0.188989831
    2.414693472    0.478966931    0.181656793
    2.428183380    0.474040160    0.174123335
    2.441673288    0.468945179    0.166391816
    2.455163195    0.463679652    0.158464673
    2.468653103    0.458241191    0.150344416
    2.482143011    0.452627352    0.142033631
    2.495632918    0.446835643    0.133534980
    2.509122826    0.440863522    0.124851203
    2.522612734    0.434708391    0.115985116
    2.536102641    0.428367595    0.106939615
    2.549592549    0.421838409    0.097717672
    2.563082457    0.415118037    0.088322340
    2.576572364    0.408203593    0.078756752
    2.590062272    0.401092089    0.069024119
    2.603552180    0.393780424    0.059127734
    2.617042087    0.386265363    0.049070970
    2.630531995    0.378543524    0.038857280
    2.644021903    0.370611362    0.028490198
    2.657511810    0.362465149    0.017973338
    2.671001718    0.354100968    0.007310393
    2.684491626    0.345514691   -0.003494864
    2.697981533    0.336701978   -0.014438584
    2.711471441    0.327658266   -0.025516839
    2.724961349    0.318378767   -0.036725625
    2.738451256    0.308858470   -0.048060867
    2.751941164    0.299092145   -0.059518415
    2.765431072    0.289074352   -0.071094050
    2.778920979    0.278799457   -0.082783482
    2.792410887    0.268261648   -0.094582358
    2.805900795    0.257454957   -0.106486260
    2.819390702    0.246373290   -0.118490709
    2.832880610    0.235010448   -0.130591168
    2.846370518    0.223360168   -0.142783045
    2.859860425    0.211416150   -0.155061694
    2.873350333    0.199172099   -0.167422421
    2.886840241    0.186621756   -0.179860486
    2.900330148    0.173758941   -0.192371105
    2.913820056    0.160577588   -0.204949455
    2.927309964    0.147071782   -0.217590678
    2.940799871    0.133235796   -0.230289881
    2.954289779    0.119064126   -0.243042142
    2.967779687    0.104551526   -0.255842515
    2.981269594    0.089693036   -0.268686029
    2.994759502    0.074484011   -0.281567697
    3.008249410    0.058920154   -0.294482513
    3.021739317    0.042997534   -0.307425463
    3.035229225    0.026712616   -0.320391523
    3.048719133    0.010062275   -0.333375665
    3.062209040   -0.006956177   -0.346372862
    3.075698948   -0.024344978   -0.359378086
    3.089188856   -0.042105898   -0.372386321
    3.102678763   -0.060240224   -0.385392558
    3.116168671   -0.078748743   -0.398391803
    3.129658579   -0.097631731   -0.411379082
    3.143148486   -0.116888940   -0.424349440
    3.156638394   -0.136519584   -0.437297951
    3.170128302   -0.156522326   -0.450219715
    3.183618209   -0.176895271   -0.463109868
    3.197108117   -0.197635951   -0.475963582
    3.210598025   -0.218741316   -0.488776070
    3.224087932   -0.240207723   -0.501542588
    3.237577840   -0.262030930   -0.514258441
    3.251067748   -0.284206084   -0.526918984
    3.264557655   -0.306727717   -0.539519628
    3.278047563   -0.329589738   -0.552055840
    3.291537471   -0.352785429   -0.564523149
    3.305027378   -0.376307440   -0.576917147
    3.318517286   -0.400147789   -0.589233495
    3.332007194   -0.424297861   -0.601467920
    3.345497101   -0.448748407   -0.613616223
    3.358987009   -0.473489547   -0.625674281
    3.372476917   -0.498510778   -0.637638046
    3.385966824   -0.523800977   -0.649503550
    3.399456732   -0.549348406   -0.661266907
    3.412946640   -0.575140726   -0.672924311
    3.426436547   -0.601165008   -0.684472046
    3.439926455   -0.627407741   -0.695906479
    3.453416363   -0.653854849   -0.707224066
    3.466906270   -0.680491709   -0.718421354
    3.480396178   -0.707303163   -0.729494979
    3.493886086   -0.734273541   -0.740441670
    3.507375993   -0.761386680   -0.751258248
    3.520865901   -0.788625944   -0.761941630
    3.534355809   -0.815974251   -0.772488826
    3.547845716   -0.843414092   -0.782896942
    3.561335624   -0.870927561   -0.793163179
    3.574825532   -0.898496378   -0.803284836
